Context,Question,Answer
"The college operates from 9 AM to 4 PM.","What are college timings?","9 AM to 4 PM"
"The library is open from 8 AM to 8 PM.","What are library timings?","8 AM to 8 PM"
"Attendance of 75 percent is mandatory.","Is attendance compulsory?","Yes, 75 percent attendance is mandatory"
"The college provides hostel facilities.","Is hostel available?","Yes"
"Placements are offered by top companies.","Does college provide placements?","Yes"
"The college cafeteria serves breakfast and lunch.","Is cafeteria available?","Yes"
"Admissions are open from June to August.","When are admissions open?","June to August"
"Fees can be paid online or offline.","How can fees be paid?","Online or offline"
"Examinations are conducted at the end of each semester.","When are exams conducted?","At the end of each semester"
"The campus provides WiFi for students.","Is WiFi available on campus?","Yes"
"The college has separate hostels for boys and girls.","Are hostels separate for boys and girls?","Yes"
"Transport facilities are available across the city.","Is transport facility available?","Yes"
"The college offers indoor and outdoor sports facilities.","Are sports facilities available?","Yes"
"Students must carry ID cards inside campus.","Is ID card mandatory?","Yes"
"The library contains technical and non-technical books.","What books are available in library?","Technical and non-technical books"
"The AIML department offers machine learning and deep learning courses.","What courses are available in AIML?","Machine learning and deep learning"
"The college provides internship opportunities for students.","Are internships available?","Yes"
"Classes begin at 9 AM every weekday.","When do classes begin?","9 AM"
"The examination cell handles all exam-related activities.","What does examination cell do?","Handles exam-related activities"
"The college campus has CCTV surveillance for security.","Is campus secure?","Yes"
"Students can access study materials through the online portal.","Is online study material available?","Yes"
"The campus includes medical facilities for emergencies.","Are medical facilities available?","Yes"
"The admission office works from Monday to Saturday.","When is admission office open?","Monday to Saturday"
"The college provides scholarships for eligible students.","Are scholarships available?","Yes"
"Placement training sessions are conducted regularly.","Is placement training provided?","Yes"
"The campus has multiple computer labs for students.","Are computer labs available?","Yes"
"Students must maintain minimum attendance to appear for exams.","Why is attendance important?","To appear for exams"
"The college organizes technical and cultural events every year.","Are events conducted in college?","Yes"
"The canteen provides vegetarian and non-vegetarian food.","What food is available in canteen?","Vegetarian and non-vegetarian food"
"The college supports extracurricular activities and student clubs.","Are student clubs available?","Yes"
"The college admissions are available only through management quota.","Is management quota available?","Yes"
"There are no non-management seats available in the college.","Are non-management seats available?","No"
"The college offers Computer Science Engineering, AIML, Data Science, Cyber Security, Information Science, Mechanical Engineering, Electrical Engineering, Law, and Degree courses.","What branches are available in college?","Computer Science Engineering, AIML, Data Science, Cyber Security, Information Science, Mechanical Engineering, Electrical Engineering, Law, and Degree courses"
"The college offers Computer Science Engineering branch.","Is Computer Science Engineering available?","Yes"
"The college offers Artificial Intelligence and Machine Learning branch.","Is AIML available?","Yes"
"The college offers Data Science branch.","Is Data Science available?","Yes"
"The college offers Cyber Security branch.","Is Cyber Security available?","Yes"
"The college offers Information Science branch.","Is Information Science available?","Yes"
"The college offers Mechanical Engineering branch.","Is Mechanical Engineering available?","Yes"
"The college offers Electrical Engineering branch.","Is Electrical Engineering available?","Yes"
"The college offers Law courses.","Is Law available?","Yes"
"The college offers Degree courses.","Are Degree courses available?","Yes"
"The college does not offer M.Tech or higher postgraduate courses.","Is M.Tech available?","No"
"The college does not provide higher postgraduate programs.","Are higher studies available?","No"
"The fee structure for Computer Science Engineering is 8 lakhs.","What is the fee for Computer Science Engineering?","8 lakhs"
"The fee structure for AIML is 7.5 lakhs.","What is the fee for AIML?","7.5 lakhs"
"The fee structure for Data Science is 7 lakhs.","What is the fee for Data Science?","7 lakhs"
"The fee structure for Cyber Security is 7 lakhs.","What is the fee for Cyber Security?","7 lakhs"
"The fee structure for Information Science is 6.5 lakhs.","What is the fee for Information Science?","6.5 lakhs"
"The fee structure for Mechanical Engineering is 5 lakhs.","What is the fee for Mechanical Engineering?","5 lakhs"
"The fee structure for Electrical Engineering is 4.5 lakhs.","What is the fee for Electrical Engineering?","4.5 lakhs"
"The fee structure for Law courses is 6 lakhs.","What is the fee for Law?","6 lakhs"
"The fee structure for Degree courses ranges from 3 lakhs to 4 lakhs.","What is the fee for Degree courses?","3 lakhs to 4 lakhs"
